Epoch_Time	Flow_Rate
 1531816093.278522	0.135
1531816094.2848072	0.174
1531816095.2911925	0.200
1531816096.2974124	0.213
1531816097.3028982	0.207
1531816098.3083766	0.189
1531816099.3140438	0.172
1531816100.3191056	0.156
1531816101.3242548	0.143
1531816102.3298972	0.134
1531816103.3352644	0.127
1531816104.3404346	0.121
1531816105.3521452	0.116
1531816106.3573627	0.112
1531816107.362639	0.109
1531816108.3693645	0.107
1531816109.376319	0.106
1531816110.387297	0.105
1531816111.3918505	0.103
1531816112.396525	0.102
1531816113.401591	0.101
1531816114.4067125	0.100
1531816115.4122636	0.099
1531816116.4176521	0.098
1531816117.4228592	0.097
1531816118.4280152	0.097
1531816119.4331193	0.096
1531816120.438621	0.096
1531816121.4439006	0.096
1531816122.449363	0.096
1531816123.4542394	0.096
1531816124.4591377	0.096
1531816125.470362	0.096
